year,doy,temp,temp_upper,temp_lower
801,92,7.38,12.1,2.66
802,94,8.07,12.79,3.35
803,108,6.38,11.1,1.66
807,91,6.44,11.16,1.72
815,105,6.83,11.55,2.11
831,96,7.28,12.0,2.56
851,108,7.32,12.04,2.6
853,108,6.3,11.02,1.58
864,119,5.42,10.14,0.7
866,105,7.78,12.5,3.06
875,113,6.5,11.22,1.78
877,92,8.12,12.84,3.4
884,158,4.64,9.36,-0.08
885,125,5.15,9.87,0.43
888,153,4.2,8.92,-0.52
891,117,5.89,10.61,1.17
892,96,7.57,12.29,2.85
894,108,6.3,11.02,1.58
895,96,8.3,13.02,3.58
898,108,6.3,11.02,1.58
900,96,8.3,13.02,3.58
901,119,5.15,9.87,0.43
903,106,6.3,11.02,1.58
905,96,8.3,13.02,3.58
906,108,6.3,11.02,1.58
907,96,8.3,13.02,3.58
908,108,6.3,11.02,1.58
909,96,8.3,13.02,3.58
913,96,8.3,13.02,3.58
914,96,8.3,13.02,3.58
915,108,6.3,11.02,1.58
919,96,8.3,13.02,3.58
920,108,6.3,11.02,1.58
921,96,8.3,13.02,3.58
922,108,6.3,11.02,1.58
925,96,8.3,13.02,3.58
926,108,6.3,11.02,1.58
928,108,6.3,11.02,1.58
929,96,8.3,13.02,3.58
932,96,8.3,13.02,3.58
933,108,6.3,11.02,1.58
934,96,8.3,13.02,3.58
935,108,6.3,11.02,1.58
940,96,8.3,13.02,3.58
941,108,6.3,11.02,1.58
947,96,8.3,13.02,3.58
948,108,6.3,11.02,1.58
950,96,8.3,13.02,3.58
951,108,6.3,11.02,1.58
952,96,8.3,13.02,3.58
953,108,6.3,11.02,1.58
954,96,8.3,13.02,3.58
955,108,6.3,11.02,1.58
956,96,8.3,13.02,3.58
957,108,6.3,11.02,1.58
958,96,8.3,13.02,3.58
959,108,6.3,11.02,1.58
960,96,8.3,13.02,3.58
961,108,6.3,11.02,1.58
962,96,8.3,13.02,3.58
963,108,6.3,11.02,1.58
964,96,8.3,13.02,3.58
965,108,6.3,11.02,1.58
966,96,8.3,13.02,3.58
967,108,6.3,11.02,1.58
968,96,8.3,13.02,3.58
969,108,6.3,11.02,1.58
970,96,8.3,13.02,3.58
971,108,6.3,11.02,1.58
972,96,8.3,13.02,3.58
973,108,6.3,11.02,1.58
974,96,8.3,13.02,3.58
975,108,6.3,11.02,1.58
976,96,8.3,13.02,3.58
977,108,6.3,11.02,1.58
978,96,8.3,13.02,3.58
979,108,6.3,11.02,1.58
980,96,8.3,13.02,3.58
981,108,6.3,11.02,1.58
982,96,8.3,13.02,3.58
983,108,6.3,11.02,1.58
984,96,8.3,13.02,3.58
985,108,6.3,11.02,1.58
986,96,8.3,13.02,3.58
987,108,6.3,11.02,1.58
988,96,8.3,13.02,3.58
989,108,6.3,11.02,1.58
990,96,8.3,13.02,3.58
991,108,6.3,11.02,1.58
992,96,8.3,13.02,3.58
993,108,6.3,11.02,1.58
994,96,8.3,13.02,3.58
995,108,6.3,11.02,1.58
996,96,8.3,13.02,3.58
997,108,6.3,11.02,1.58
998,96,8.3,13.02,3.58
999,108,6.3,11.02,1.58
1000,96,8.3,13.02,3.58
1001,108,6.3,11.02,1.58
1400,92,8.5,13.22,3.78
1401,95,8.6,13.32,3.88
1402,104,7.5,12.22,2.78
1403,99,8.1,12.82,3.38
1404,96,8.5,13.22,3.78
1405,119,6.2,10.92,1.48
1406,90,9.2,13.92,4.48
1407,104,7.5,12.22,2.78
1408,89,9.5,14.22,4.78
1409,108,6.8,11.52,2.08
1410,95,8.6,13.32,3.88
1411,101,7.9,12.62,3.18
1412,93,8.8,13.52,4.08
1413,93,8.8,13.52,4.08
1414,90,9.2,13.92,4.48
1415,108,6.8,11.52,2.08
1416,90,9.2,13.92,4.48
1417,108,6.8,11.52,2.08
1418,89,9.5,14.22,4.78
1419,108,6.8,11.52,2.08
1420,90,9.2,13.92,4.48
1421,108,6.8,11.52,2.08
1422,89,9.5,14.22,4.78
1423,108,6.8,11.52,2.08
1424,90,9.2,13.92,4.48
1425,108,6.8,11.52,2.08
1426,89,9.5,14.22,4.78
1427,108,6.8,11.52,2.08
1428,90,9.2,13.92,4.48
1429,108,6.8,11.52,2.08
1430,89,9.5,14.22,4.78
1431,108,6.8,11.52,2.08
1432,90,9.2,13.92,4.48
1433,108,6.8,11.52,2.08
1434,89,9.5,14.22,4.78
1435,108,6.8,11.52,2.08
1436,90,9.2,13.92,4.48
1437,108,6.8,11.52,2.08
1438,89,9.5,14.22,4.78
1439,108,6.8,11.52,2.08
1440,90,9.2,13.92,4.48
1441,108,6.8,11.52,2.08
1442,89,9.5,14.22,4.78
1443,108,6.8,11.52,2.08
1444,90,9.2,13.92,4.48
1445,108,6.8,11.52,2.08
1446,89,9.5,14.22,4.78
1447,108,6.8,11.52,2.08
1448,90,9.2,13.92,4.48
1449,108,6.8,11.52,2.08
1450,89,9.5,14.22,4.78
1451,108,6.8,11.52,2.08
1452,90,9.2,13.92,4.48
1453,108,6.8,11.52,2.08
1454,89,9.5,14.22,4.78
1455,108,6.8,11.52,2.08
1456,90,9.2,13.92,4.48
1457,108,6.8,11.52,2.08
1458,89,9.5,14.22,4.78
1459,108,6.8,11.52,2.08
1460,90,9.2,13.92,4.48
1461,108,6.8,11.52,2.08
1462,89,9.5,14.22,4.78
1463,108,6.8,11.52,2.08
1464,90,9.2,13.92,4.48
1465,108,6.8,11.52,2.08
1466,89,9.5,14.22,4.78
1467,108,6.8,11.52,2.08
1468,90,9.2,13.92,4.48
1469,108,6.8,11.52,2.08
1470,89,9.5,14.22,4.78
1471,108,6.8,11.52,2.08
1472,90,9.2,13.92,4.48
1473,108,6.8,11.52,2.08
1474,89,9.5,14.22,4.78
1475,108,6.8,11.52,2.08
1476,90,9.2,13.92,4.48
1477,108,6.8,11.52,2.08
1478,89,9.5,14.22,4.78
1479,108,6.8,11.52,2.08
1480,90,9.2,13.92,4.48
1481,108,6.8,11.52,2.08
1482,89,9.5,14.22,4.78
1483,108,6.8,11.52,2.08
1484,90,9.2,13.92,4.48
1485,108,6.8,11.52,2.08
1486,89,9.5,14.22,4.78
1487,108,6.8,11.52,2.08
1488,90,9.2,13.92,4.48
1489,108,6.8,11.52,2.08
1490,89,9.5,14.22,4.78
1491,108,6.8,11.52,2.08
1492,90,9.2,13.92,4.48
1493,108,6.8,11.52,2.08
1494,89,9.5,14.22,4.78
1495,108,6.8,11.52,2.08
1496,90,9.2,13.92,4.48
1497,108,6.8,11.52,2.08
1498,89,9.5,14.22,4.78
1499,108,6.8,11.52,2.08
1500,90,9.2,13.92,4.48
1501,108,6.8,11.52,2.08
1502,89,9.5,14.22,4.78
1503,108,6.8,11.52,2.08
1504,90,9.2,13.92,4.48
1505,108,6.8,11.52,2.08
1506,89,9.5,14.22,4.78
1507,108,6.8,11.52,2.08
1508,90,9.2,13.92,4.48
1509,108,6.8,11.52,2.08
1510,89,9.5,14.22,4.78
1511,108,6.8,11.52,2.08
1512,90,9.2,13.92,4.48
1513,108,6.8,11.52,2.08
1514,89,9.5,14.22,4.78
1515,108,6.8,11.52,2.08
1516,90,9.2,13.92,4.48
1517,108,6.8,11.52,2.08
1518,89,9.5,14.22,4.78
1519,108,6.8,11.52,2.08
1520,90,9.2,13.92,4.48
1521,108,6.8,11.52,2.08
1522,89,9.5,14.22,4.78
1523,108,6.8,11.52,2.08
1524,90,9.2,13.92,4.48
1525,108,6.8,11.52,2.08
1526,89,9.5,14.22,4.78
1527,108,6.8,11.52,2.08
1528,90,9.2,13.92,4.48
1529,108,6.8,11.52,2.08
1530,89,9.5,14.22,4.78
1531,108,6.8,11.52,2.08
1532,90,9.2,13.92,4.48
1533,108,6.8,11.52,2.08
1534,89,9.5,14.22,4.78
1535,108,6.8,11.52,2.08
1536,90,9.2,13.92,4.48
1537,108,6.8,11.52,2.08
1538,89,9.5,14.22,4.78
1539,108,6.8,11.52,2.08
1540,90,9.2,13.92,4.48
1541,108,6.8,11.52,2.08
1542,89,9.5,14.22,4.78
1543,108,6.8,11.52,2.08
1544,90,9.2,13.92,4.48
1545,108,6.8,11.52,2.08
1546,89,9.5,14.22,4.78
1547,108,6.8,11.52,2.08
1548,90,9.2,13.92,4.48
1549,108,6.8,11.52,2.08
1550,89,9.5,14.22,4.78
1551,108,6.8,11.52,2.08
1552,90,9.2,13.92,4.48
1553,108,6.8,11.52,2.08
1554,89,9.5,14.22,4.78
1555,108,6.8,11.52,2.08
1556,90,9.2,13.92,4.48
1557,108,6.8,11.52,2.08
1558,89,9.5,14.22,4.78
1559,108,6.8,11.52,2.08
1560,90,9.2,13.92,4.48
1561,108,6.8,11.52,2.08
1562,89,9.5,14.22,4.78
1563,108,6.8,11.52,2.08
1564,90,9.2,13.92,4.48
1565,108,6.8,11.52,2.08
1566,89,9.5,14.22,4.78
1567,108,6.8,11.52,2.08
1568,90,9.2,13.92,4.48
1569,108,6.8,11.52,2.08
1570,89,9.5,14.22,4.78
1571,108,6.8,11.52,2.08
1572,90,9.2,13.92,4.48
1573,108,6.8,11.52,2.08
1574,89,9.5,14.22,4.78
1575,108,6.8,11.52,2.08
1576,90,9.2,13.92,4.48
1577,108,6.8,11.52,2.08
1578,89,9.5,14.22,4.78
1579,108,6.8,11.52,2.08
1580,90,9.2,13.92,4.48
1581,108,6.8,11.52,2.08
1582,89,9.5,14.22,4.78
1583,108,6.8,11.52,2.08
1584,90,9.2,13.92,4.48
1585,108,6.8,11.52,2.08
1586,89,9.5,14.22,4.78
1587,108,6.8,11.52,2.08
1588,90,9.2,13.92,4.48
1589,108,6.8,11.52,2.08
1590,89,9.5,14.22,4.78
1591,108,6.8,11.52,2.08
1592,90,9.2,13.92,4.48
1593,108,6.8,11.52,2.08
1594,89,9.5,14.22,4.78
1595,108,6.8,11.52,2.08
1596,90,9.2,13.92,4.48
1597,108,6.8,11.52,2.08
1598,89,9.5,14.22,4.78
1599,108,6.8,11.52,2.08
1600,90,9.2,13.92,4.48
1601,108,6.8,11.52,2.08
1602,89,9.5,14.22,4.78
1603,108,6.8,11.52,2.08
1604,90,9.2,13.92,4.48
1605,108,6.8,11.52,2.08
1606,89,9.5,14.22,4.78
1607,108,6.8,11.52,2.08
1608,90,9.2,13.92,4.48
1609,108,6.8,11.52,2.08
1610,89,9.5,14.22,4.78
1611,108,6.8,11.52,2.08
1612,90,9.2,13.92,4.48
1613,108,6.8,11.52,2.08
1614,89,9.5,14.22,4.78
1615,108,6.8,11.52,2.08
1616,90,9.2,13.92,4.48
1617,108,6.8,11.52,2.08
1618,89,9.5,14.22,4.78
1619,108,6.8,11.52,2.08
1620,90,9.2,13.92,4.48
1621,108,6.8,11.52,2.08
1622,89,9.5,14.22,4.78
1623,108,6.8,11.52,2.08
1624,90,9.2,13.92,4.48
1625,108,6.8,11.52,2.08
1626,89,9.5,14.22,4.78
1627,108,6.8,11.52,2.08
1628,90,9.2,13.92,4.48
1629,108,6.8,11.52,2.08
1630,89,9.5,14.22,4.78
1631,108,6.8,11.52,2.08
1632,90,9.2,13.92,4.48
1633,108,6.8,11.52,2.08
1634,89,9.5,14.22,4.78
1635,108,6.8,11.52,2.08
1636,90,9.2,13.92,4.48
1637,108,6.8,11.52,2.08
1638,89,9.5,14.22,4.78
1639,108,6.8,11.52,2.08
1640,90,9.2,13.92,4.48
1641,108,6.8,11.52,2.08
1642,89,9.5,14.22,4.78
1643,108,6.8,11.52,2.08
1644,90,9.2,13.92,4.48
1645,108,6.8,11.52,2.08
1646,89,9.5,14.22,4.78
1647,108,6.8,11.52,2.08
1648,90,9.2,13.92,4.48
1649,108,6.8,11.52,2.08
1650,89,9.5,14.22,4.78
1651,108,6.8,11.52,2.08
1652,90,9.2,13.92,4.48
1653,108,6.8,11.52,2.08
1654,89,9.5,14.22,4.78
1655,108,6.8,11.52,2.08
1656,90,9.2,13.92,4.48
1657,108,6.8,11.52,2.08
1658,89,9.5,14.22,4.78
1659,108,6.8,11.52,2.08
1660,90,9.2,13.92,4.48
1661,108,6.8,11.52,2.08
1662,89,9.5,14.22,4.78
1663,108,6.8,11.52,2.08
1664,90,9.2,13.92,4.48
1665,108,6.8,11.52,2.08
1666,89,9.5,14.22,4.78
1667,108,6.8,11.52,2.08
1668,90,9.2,13.92,4.48
1669,108,6.8,11.52,2.08
1670,89,9.5,14.22,4.78
1671,108,6.8,11.52,2.08
1672,90,9.2,13.92,4.48
1673,108,6.8,11.52,2.08
1674,89,9.5,14.22,4.78
1675,108,6.8,11.52,2.08
1676,90,9.2,13.92,4.48
1677,108,6.8,11.52,2.08
1678,89,9.5,14.22,4.78
1679,108,6.8,11.52,2.08
1680,90,9.2,13.92,4.48
1681,108,6.8,11.52,2.08
1682,89,9.5,14.22,4.78
1683,108,6.8,11.52,2.08
1684,90,9.2,13.92,4.48
1685,108,6.8,11.52,2.08
1686,89,9.5,14.22,4.78
1687,108,6.8,11.52,2.08
1688,90,9.2,13.92,4.48
1689,108,6.8,11.52,2.08
1690,89,9.5,14.22,4.78
1691,108,6.8,11.52,2.08
1692,90,9.2,13.92,4.48
1693,108,6.8,11.52,2.08
1694,89,9.5,14.22,4.78
1695,108,6.8,11.52,2.08
1696,90,9.2,13.92,4.48
1697,108,6.8,11.52,2.08
1698,89,9.5,14.22,4.78
1699,108,6.8,11.52,2.08
1700,90,9.2,13.92,4.48
1701,108,6.8,11.52,2.08
1702,89,9.5,14.22,4.78
1703,108,6.8,11.52,2.08
1704,90,9.2,13.92,4.48
1705,108,6.8,11.52,2.08
1706,89,9.5,14.22,4.78
1707,108,6.8,11.52,2.08
1708,90,9.2,13.92,4.48
1709,108,6.8,11.52,2.08
1710,89,9.5,14.22,4.78
1711,108,6.8,11.52,2.08
1712,90,9.2,13.92,4.48
1713,108,6.8,11.52,2.08
1714,89,9.5,14.22,4.78
1715,108,6.8,11.52,2.08
1716,90,9.2,13.92,4.48
1717,108,6.8,11.52,2.08
1718,89,9.5,14.22,4.78
1719,108,6.8,11.52,2.08
1720,90,9.2,13.92,4.48
1721,108,6.8,11.52,2.08
1722,89,9.5,14.22,4.78
1723,108,6.8,11.52,2.08
1724,90,9.2,13.92,4.48
1725,108,6.8,11.52,2.08
1726,89,9.5,14.22,4.78
1727,108,6.8,11.52,2.08
1728,90,9.2,13.92,4.48
1729,108,6.8,11.52,2.08
1730,89,9.5,14.22,4.78
1731,108,6.8,11.52,2.08
1732,90,9.2,13.92,4.48
1733,108,6.8,11.52,2.08
1734,89,9.5,14.22,4.78
1735,108,6.8,11.52,2.08
1736,90,9.2,13.92,4.48
1737,108,6.8,11.52,2.08
1738,89,9.5,14.22,4.78
1739,108,6.8,11.52,2.08
1740,90,9.2,13.92,4.48
1741,108,6.8,11.52,2.08
1742,89,9.5,14.22,4.78
1743,108,6.8,11.52,2.08
1744,90,9.2,13.92,4.48
1745,108,6.8,11.52,2.08
1746,89,9.5,14.22,4.78
1747,108,6.8,11.52,2.08
1748,90,9.2,13.92,4.48
1749,108,6.8,11.52,2.08
1750,89,9.5,14.22,4.78
1751,108,6.8,11.52,2.08
1752,90,9.2,13.92,4.48
1753,108,6.8,11.52,2.08
1754,89,9.5,14.22,4.78
1755,108,6.8,11.52,2.08
1756,90,9.2,13.92,4.48
1757,108,6.8,11.52,2.08
1758,89,9.5,14.22,4.78
1759,108,6.8,11.52,2.08
1760,90,9.2,13.92,4.48
1761,108,6.8,11.52,2.08
1762,89,9.5,14.22,4.78
1763,108,6.8,11.52,2.08
1764,90,9.2,13.92,4.48
1765,108,6.8,11.52,2.08
1766,89,9.5,14.22,4.78
1767,108,6.8,11.52,2.08
1768,90,9.2,13.92,4.48
1769,108,6.8,11.52,2.08
1770,89,9.5,14.22,4.78
1771,108,6.8,11.52,2.08
1772,90,9.2,13.92,4.48
1773,108,6.8,11.52,2.08
1774,89,9.5,14.22,4.78
1775,108,6.8,11.52,2.08
1776,90,9.2,13.92,4.48
1777,108,6.8,11.52,2.08
1778,89,9.5,14.22,4.78
1779,108,6.8,11.52,2.08
1780,90,9.2,13.92,4.48
1781,108,6.8,11.52,2.08
1782,89,9.5,14.22,4.78
1783,108,6.8,11.52,2.08
1784,90,9.2,13.92,4.48
1785,108,6.8,11.52,2.08
1786,89,9.5,14.22,4.78
1787,108,6.8,11.52,2.08
1788,90,9.2,13.92,4.48
1789,108,6.8,11.52,2.08
1790,89,9.5,14.22,4.78
1791,108,6.8,11.52,2.08
1792,90,9.2,13.92,4.48
1793,108,6.8,11.52,2.08
1794,89,9.5,14.22,4.78
1795,108,6.8,11.52,2.08
1796,90,9.2,13.92,4.48
1797,108,6.8,11.52,2.08
1798,89,9.5,14.22,4.78
1799,108,6.8,11.52,2.08
1800,90,9.2,13.92,4.48
1801,108,6.8,11.52,2.08
1802,89,9.5,14.22,4.78
1803,108,6.8,11.52,2.08
1804,90,9.2,13.92,4.48
1805,108,6.8,11.52,2.08
1806,89,9.5,14.22,4.78
1807,108,6.8,11.52,2.08
1808,90,9.2,13.92,4.48
1809,108,6.8,11.52,2.08
1810,89,9.5,14.22,4.78
1811,108,6.8,11.52,2.08
1812,90,9.2,13.92,4.48
1813,108,6.8,11.52,2.08
1814,89,9.5,14.22,4.78
1815,108,6.8,11.52,2.08
1816,90,9.2,13.92,4.48
1817,108,6.8,11.52,2.08
1818,89,9.5,14.22,4.78
1819,108,6.8,11.52,2.08
1820,90,9.2,13.92,4.48
1821,108,6.8,11.52,2.08
1822,89,9.5,14.22,4.78
1823,108,6.8,11.52,2.08
1824,90,9.2,13.92,4.48
1825,108,6.8,11.52,2.08
1826,89,9.5,14.22,4.78
1827,108,6.8,11.52,2.08
1828,90,9.2,13.92,4.48
1829,108,6.8,11.52,2.08
1830,89,9.5,14.22,4.78
1831,108,6.8,11.52,2.08
1832,90,9.2,13.92,4.48
1833,108,6.8,11.52,2.08
1834,89,9.5,14.22,4.78
1835,108,6.8,11.52,2.08
1836,90,9.2,13.92,4.48
1837,108,6.8,11.52,2.08
1838,89,9.5,14.22,4.78
1839,108,6.8,11.52,2.08
1840,90,9.2,13.92,4.48
1841,108,6.8,11.52,2.08
1842,89,9.5,14.22,4.78
1843,108,6.8,11.52,2.08
1844,90,9.2,13.92,4.48
1845,108,6.8,11.52,2.08
1846,89,9.5,14.22,4.78
1847,108,6.8,11.52,2.08
1848,90,9.2,13.92,4.48
1849,108,6.8,11.52,2.08
1850,89,9.5,14.22,4.78
1851,108,6.8,11.52,2.08
1852,90,9.2,13.92,4.48
1853,108,6.8,11.52,2.08
1854,89,9.5,14.22,4.78
1855,108,6.8,11.52,2.08
1856,90,9.2,13.92,4.48
1857,108,6.8,11.52,2.08
1858,89,9.5,14.22,4.78
1859,108,6.8,11.52,2.08
1860,90,9.2,13.92,4.48
1861,108,6.8,11.52,2.08
1862,89,9.5,14.22,4.78
1863,108,6.8,11.52,2.08
1864,90,9.2,13.92,4.48
1865,108,6.8,11.52,2.08
1866,89,9.5,14.22,4.78
1867,108,6.8,11.52,2.08
1868,90,9.2,13.92,4.48
1869,108,6.8,11.52,2.08
1870,89,9.5,14.22,4.78
1871,108,6.8,11.52,2.08
1872,90,9.2,13.92,4.48
1873,108,6.8,11.52,2.08
1874,89,9.5,14.22,4.78
1875,108,6.8,11.52,2.08
1876,90,9.2,13.92,4.48
1877,108,6.8,11.52,2.08
1878,89,9.5,14.22,4.78
1879,108,6.8,11.52,2.08
1880,90,9.2,13.92,4.48
1881,108,6.8,11.52,2.08
1882,89,9.5,14.22,4.78
1883,108,6.8,11.52,2.08
1884,90,9.2,13.92,4.48
1885,108,6.8,11.52,2.08
1886,89,9.5,14.22,4.78
1887,108,6.8,11.52,2.08
1888,90,9.2,13.92,4.48
1889,108,6.8,11.52,2.08
1890,89,9.5,14.22,4.78
1891,108,6.8,11.52,2.08
1892,90,9.2,13.92,4.48
1893,108,6.8,11.52,2.08
1894,89,9.5,14.22,4.78
1895,108,6.8,11.52,2.08
1896,90,9.2,13.92,4.48
1897,108,6.8,11.52,2.08
1898,89,9.5,14.22,4.78
1899,108,6.8,11.52,2.08
1900,90,9.2,13.92,4.48
1901,108,6.8,11.52,2.08
1902,89,9.5,14.22,4.78
1903,108,6.8,11.52,2.08
1904,90,9.2,13.92,4.48
1905,108,6.8,11.52,2.08
1906,89,9.5,14.22,4.78
1907,108,6.8,11.52,2.08
1908,90,9.2,13.92,4.48
1909,108,6.8,11.52,2.08
1910,89,9.5,14.22,4.78
1911,108,6.8,11.52,2.08
1912,90,9.2,13.92,4.48
1913,108,6.8,11.52,2.08
1914,89,9.5,14.22,4.78
1915,108,6.8,11.52,2.08
1916,90,9.2,13.92,4.48
1917,108,6.8,11.52,2.08
1918,89,9.5,14.22,4.78
1919,108,6.8,11.52,2.08
1920,90,9.2,13.92,4.48
1921,108,6.8,11.52,2.08
1922,89,9.5,14.22,4.78
1923,108,6.8,11.52,2.08
1924,90,9.2,13.92,4.48
1925,108,6.8,11.52,2.08
1926,89,9.5,14.22,4.78
1927,108,6.8,11.52,2.08
1928,90,9.2,13.92,4.48
1929,108,6.8,11.52,2.08
1930,89,9.5,14.22,4.78
1931,108,6.8,11.52,2.08
1932,90,9.2,13.92,4.48
1933,108,6.8,11.52,2.08
1934,89,9.5,14.22,4.78
1935,108,6.8,11.52,2.08
1936,90,9.2,13.92,4.48
1937,108,6.8,11.52,2.08
1938,89,9.5,14.22,4.78
1939,108,6.8,11.52,2.08
1940,90,9.2,13.92,4.48
1941,108,6.8,11.52,2.08
1942,89,9.5,14.22,4.78
1943,108,6.8,11.52,2.08
1944,90,9.2,13.92,4.48
1945,108,6.8,11.52,2.08
1946,89,9.5,14.22,4.78
1947,108,6.8,11.52,2.08
1948,90,9.2,13.92,4.48
1949,108,6.8,11.52,2.08
1950,89,9.5,14.22,4.78
1951,108,6.8,11.52,2.08
1952,90,9.2,13.92,4.48
1953,108,6.8,11.52,2.08
1954,89,9.5,14.22,4.78
1955,108,6.8,11.52,2.08
1956,90,9.2,13.92,4.48
1957,108,6.8,11.52,2.08
1958,89,9.5,14.22,4.78
1959,108,6.8,11.52,2.08
1960,90,9.2,13.92,4.48
1961,108,6.8,11.52,2.08
1962,89,9.5,14.22,4.78
1963,108,6.8,11.52,2.08
1964,90,9.2,13.92,4.48
1965,108,6.8,11.52,2.08
1966,89,9.5,14.22,4.78
1967,108,6.8,11.52,2.08
1968,90,9.2,13.92,4.48
1969,108,6.8,11.52,2.08
1970,89,9.5,14.22,4.78
1971,108,6.8,11.52,2.08
1972,90,9.2,13.92,4.48
1973,108,6.8,11.52,2.08
1974,89,9.5,14.22,4.78
1975,108,6.8,11.52,2.08
1976,90,9.2,13.92,4.48
1977,108,6.8,11.52,2.08
1978,89,9.5,14.22,4.78
1979,108,6.8,11.52,2.08
1980,90,9.2,13.92,4.48
1981,108,6.8,11.52,2.08
1982,89,9.5,14.22,4.78
1983,108,6.8,11.52,2.08
1984,90,9.2,13.92,4.48
1985,108,6.8,11.52,2.08
1986,89,9.5,14.22,4.78
1987,108,6.8,11.52,2.08
1988,90,9.2,13.92,4.48
1989,108,6.8,11.52,2.08
1990,89,9.5,14.22,4.78
1991,108,6.8,11.52,2.08
1992,90,9.2,13.92,4.48
1993,108,6.8,11.52,2.08
1994,89,9.5,14.22,4.78
1995,108,6.8,11.52,2.08
1996,90,9.2,13.92,4.48
1997,108,6.8,11.52,2.08
1998,89,9.5,14.22,4.78
1999,108,6.8,11.52,2.08
2000,90,9.2,13.92,4.48