density,pred,size,surv,propsurv
10,no,big,9,0.9
10,no,big,10,1.0
10,no,big,7,0.7
10,no,big,10,1.0
10,no,small,9,0.9
10,no,small,9,0.9
10,no,small,10,1.0
10,no,small,9,0.9
10,pred,big,4,0.4
10,pred,big,9,0.9
10,pred,big,7,0.7
10,pred,big,6,0.6
10,pred,small,7,0.7
10,pred,small,5,0.5
10,pred,small,9,0.9
10,pred,small,9,0.9
25,no,big,24,0.96
25,no,big,23,0.92
25,no,big,22,0.88
25,no,big,25,1.0
25,no,small,23,0.92
25,no,small,23,0.92
25,no,small,23,0.92
25,no,small,21,0.84
25,pred,big,8,0.32
25,pred,big,12,0.48
25,pred,big,7,0.28
25,pred,big,9,0.36
25,pred,small,9,0.36
25,pred,small,15,0.6
25,pred,small,14,0.56
25,pred,small,16,0.64
35,no,big,31,0.8857143
35,no,big,30,0.8571429
35,no,big,32,0.9142857
35,no,big,32,0.9142857
35,no,small,32,0.9142857
35,no,small,30,0.8571429
35,no,small,32,0.9142857
35,no,small,31,0.8857143
35,pred,big,13,0.3714286
35,pred,big,15,0.4285714
35,pred,big,10,0.2857143
35,pred,big,12,0.3428571
35,pred,small,9,0.2571429
35,pred,small,20,0.5714286
35,pred,small,16,0.4571429
35,pred,small,17,0.4857143