Location,Loc,Population,MedianAgeMarriage,Marriage,Divorce,WaffleHouses,South,Slaves1860,PropSlaves1860
Alabama,AL,4.78,25.3,20.2,12.7,128,1,435080,0.45
Alaska,AK,0.71,25.2,26.0,12.5,0,0,0,0.0
Arizona,AZ,6.39,25.8,20.3,10.8,18,0,0,0.0
Arkansas,AR,2.92,24.3,26.4,13.5,41,1,111115,0.26
California,CA,37.25,26.8,19.1,9.7,0,0,0,0.0
Colorado,CO,5.03,25.7,23.5,11.6,11,0,0,0.0
Connecticut,CT,3.57,27.7,17.1,9.7,0,0,0,0.0
Delaware,DE,0.9,26.6,23.1,11.9,1,1,1798,0.02
Florida,FL,18.8,26.4,17.0,12.5,133,1,61745,0.44
Georgia,GA,9.69,25.9,22.1,11.5,381,1,462198,0.44
Hawaii,HI,1.36,26.9,24.9,8.3,0,0,0,0.0
Idaho,ID,1.57,23.2,28.5,11.2,0,0,0,0.0
Illinois,IL,12.83,27.0,16.3,9.7,0,0,0,0.0
Indiana,IN,6.48,25.7,19.8,12.4,0,0,0,0.0
Iowa,IA,3.05,25.9,21.6,10.2,0,0,0,0.0
Kansas,KS,2.85,25.0,22.1,12.7,6,0,2,0.0
Kentucky,KY,4.34,24.8,22.2,12.6,64,1,225483,0.2
Louisiana,LA,4.53,25.1,20.0,11.0,56,1,331726,0.47
Maine,ME,1.33,26.9,18.7,10.2,0,0,0,0.0
Maryland,MD,5.77,27.4,17.1,10.1,10,1,87189,0.13
Massachusetts,MA,6.55,28.0,16.7,7.8,0,0,0,0.0
Michigan,MI,9.88,26.0,18.6,10.9,0,0,0,0.0
Minnesota,MN,5.3,26.3,17.8,9.5,0,0,0,0.0
Mississippi,MS,2.97,24.5,19.6,11.1,14,1,436631,0.55
Missouri,MO,5.99,25.1,18.6,12.5,42,1,114931,0.1
Montana,MT,0.99,25.7,25.7,13.6,0,0,0,0.0
Nebraska,NE,1.83,26.0,19.6,10.7,0,0,15,0.0
Nevada,NV,2.7,24.9,26.4,12.0,0,0,0,0.0
New Hampshire,NH,1.32,26.8,21.3,9.9,0,0,0,0.0
New Jersey,NJ,8.79,27.7,16.1,9.4,0,0,0,0.0
New Mexico,NM,2.06,25.1,19.9,10.2,0,0,0,0.0
New York,NY,19.38,27.4,17.3,8.4,0,0,0,0.0
North Carolina,NC,9.54,25.7,16.1,11.1,171,1,331059,0.33
North Dakota,ND,0.67,24.7,26.6,8.5,0,0,0,0.0
Ohio,OH,11.54,25.9,17.5,10.9,44,0,0,0.0
Oklahoma,OK,3.75,24.2,24.7,13.2,32,1,0,0.0
Oregon,OR,3.83,25.8,18.3,11.8,0,0,0,0.0
Pennsylvania,PA,12.7,26.9,16.5,8.5,0,0,0,0.0
Rhode Island,RI,1.05,28.5,15.1,9.4,0,0,0,0.0
South Carolina,SC,4.63,26.8,17.5,10.9,199,1,402406,0.57
South Dakota,SD,0.81,25.7,23.7,9.9,0,0,0,0.0
Tennessee,TN,6.35,25.2,16.7,11.2,186,1,275719,0.25
Texas,TX,25.15,25.2,17.6,10.6,567,1,182566,0.3
Utah,UT,2.76,23.3,29.6,9.8,0,0,29,0.0
Vermont,VT,0.63,27.0,23.3,10.6,0,0,0,0.0
Virginia,VA,8.0,26.4,16.3,11.3,98,1,490865,0.31
Washington,WA,6.72,26.0,19.3,12.0,0,0,0,0.0
West Virginia,WV,1.85,24.8,17.6,12.4,12,1,18371,0.05
Wisconsin,WI,5.69,26.3,17.2,10.4,0,0,0,0.0
Wyoming,WY,0.56,24.6,28.1,12.0,0,0,0,0.0